Display,Location
"Sargent Creek, San Ardo",[-120.78868462   36.07162944]
"400 Northumberland Avenue, Redwood Oaks, Redwood City",[-122.21940574   37.46958495]
"18300 Sutter Boulevard, Morgan Hill",[-121.66021547   37.15047594]
"2700 Stoughton Way, Sheffield, Sacramento",[-121.3428459    38.57307385]
"3200 Huntsman Drive, Rosemont Park, Sacramento",[-121.36171355   38.5544347 ]
"100 Carlsbad Circle, Vacaville",[-121.94843241   38.36665327]
"Unnamed Road, Vacaville",[-121.99610391   38.32584685]
"700 Carlsbad Court, Petaluma",[-122.64497177   38.26187655]
"500 Hyde Street, Tenderloin, San Francisco",[-122.416533     37.78570262]
"3200 Nightingale Drive, Modesto",[-121.06001985   37.69417708]
"0 Mesa Vista Court, San Ramon",[-121.97494123   37.76418646]
"Gate 1 Entrance Road, Calistoga",[-122.57882833   38.58127611]
"1400 Eureka Road, Lead Hill, Roseville",[-121.2415853    38.75506963]
"900 Crestview Street, Salinas",[-121.61330838   36.70545519]
"Unnamed Road, Soledad",[-121.37670743   36.47323514]
"600 9th Street, Pacific Grove",[-121.92113123   36.61764269]
"200 Vía Gayuba, Monterey",[-121.90947258   36.5881693 ]
"3800 Diamond Court, Rocklin",[-121.26173175   38.78859894]
"4500 Galbrath Drive, Kirkland Place, Sacramento",[-121.35663593   38.69774214]
"900 Sutter Street, Lower Nob Hill, San Francisco",[-122.418912     37.78791437]
"3400 Pierce Street, Marina District, San Francisco",[-122.43979      37.80245875]
"6400 South Green Valley Road, Cambria",[-120.91176151   35.47922657]
"300 East Bell Avenue, Fairfield",[-122.03187529   38.25290014]
"400 Cinnamon Way, Suisun City",[-122.01247947   38.2496886 ]
"400 Bowline Drive, Vacaville",[-121.9796351    38.34320795]
"Cornell Street, Sonoma",[-122.48730192   38.30574416]
"Entrada, Santa Rosa",[-122.7375043    38.46703491]
"9300 Lakewood Drive, Windsor",[-122.80197539   38.55273911]
"24800 West Jayne Avenue, Coalinga",[-120.24674183   36.13002267]
"2200 Central Avenue, Alameda",[-122.2463301   37.7663485]
"5900 San Diego Street, El Cerrito",[-122.30601815   37.901185  ]
"200 North Mills Avenue, Lodi",[-121.29757514   38.13972286]
"0 North Crescent Avenue, Lodi",[-121.28103255   38.13597582]
"1600 Church Street, Lodi",[-121.27613963   38.10816213]
"100 North Garfield Avenue, Manteca",[-121.21094633   37.79920993]
"1900 Carnation Way, Manteca",[-121.18947179   37.7990965 ]
"1800 Newcastle Drive, South Los Altos, Los Altos",[-122.070514     37.34550584]
"Unnamed Road, Mount Hamilton",[-121.48119058   37.20583966]
"Maxwell Al, Vallejo",[-122.23845417   38.10527917]
"1800 Blossom Avenue, Fairfield",[-122.01447281   38.26397281]
"1700 Felicia Lane, Concord",[-122.01407141   37.97743574]
"7400 Northland Avenue, San Ramon",[-121.93918714   37.73221593]
"1600 Folsom Avenue, San Pablo",[-122.35259412   37.96146247]
"1700 Egbert Avenue, Bayview, San Francisco",[-122.3982935    37.72475442]
"5100 Obyrnes Ferry Road, Jamestown",[-120.5383795    37.89204933]
"500 Chester Street, West Oakland, Oakland",[-122.2972355    37.80742078]
"9700 Birch Street, Cox, Oakland",[-122.16651369   37.746447  ]
"2800 E Street, Central Sacramento, Sacramento",[-121.46938958   38.58037808]
"0 Saginaw Circle, North Sacramento, Sacramento",[-121.49124906   38.62416994]
"6900 Loheit Way, Andrea Boulevard Gold Run Avenue, Sacramento",[-121.3412652   38.6910069]
"7700 Claypool Way, Sunrise Farms, Citrus Heights",[-121.25817693   38.70596947]
"2800 Gay Avenue, East San Jose, San Jose",[-121.83531117   37.36806758]
"900 West 11th Street, Merced",[-120.49693282   37.29869645]
"1400 Lucy Way, Chico",[-121.82264271   39.76915629]
"6100 Plymouth Avenue, Richmond",[-122.3154709    37.94560713]
"Wildcat Marsh Trail, Richmond",[-122.3736234    37.96161168]
"1700 Bayo Vista Avenue, San Pablo",[-122.32168117   37.95847917]
"5600 Genoa Street, Santa Fe, Oakland",[-122.27344796   37.843259  ]
"4900 Antioch Street, Union City",[-122.07389639   37.57010039]
"33900 Emilia Lane, Ardenwood, Fremont",[-122.05365444   37.57194544]
"5400 Ridgewood Drive, Ardenwood, Fremont",[-122.050945     37.56169995]
